q,mean_daily_pnl,stderr,t_stat,p_value,annualized_sharpe,avg_daily_sharpe,win_rate_per_trade,mean_daily_volume,days_with_profit,days_with_loss
0.24,-40032.60546875,1977.8583041596862,-20.240379333496094,1.0,-29.70475816126146,-0.2834511995315552,0.28981604399772426,225.34188034188034,2,115
0.25,-36083.3359375,1885.4402317206936,-19.137882232666016,1.0,-28.086734651856545,-0.2678402066230774,0.29517603180458213,208.53846153846155,3,114
0.26,-32101.166015625,1831.6429798774122,-17.5258846282959,1.0,-25.72096872750539,-0.25073519349098206,0.3023961447503458,191.54700854700855,5,112
0.27,-28884.134765625,1828.5719053535195,-15.79600715637207,1.0,-23.182200585706013,-0.23517033457756042,0.3060217654171705,176.7094017094017,6,111
0.28,-26350.314453125,1777.9769998579122,-14.820390701293945,1.0,-21.750387727615117,-0.22974145412445068,0.31017161992465464,163.35042735042734,8,109
0.29,-24040.73046875,1738.0559201108279,-13.831966400146484,1.0,-20.29977637169646,-0.21831633150577545,0.3155334313836407,151.0940170940171,7,110
0.3,-21358.87109375,1737.1162522002953,-12.2955904006958,1.0,-18.044994361317148,-0.20345363020896912,0.3213408644400786,139.2136752136752,9,108
0.31,-19375.51953125,1683.6553956908576,-11.508007049560547,1.0,-16.889138200301524,-0.19193486869335175,0.3237829950921873,128.87179487179486,9,108
0.32,-16792.830078125,1624.9057472714471,-10.334649085998535,1.0,-15.167117743628477,-0.16820076054387628,0.32651449899511914,119.07692307692308,13,104
0.33,-15315.0654296875,1633.5041420123487,-9.375590324401855,1.0,-13.759604662522934,-0.16358641102701296,0.3323777794994964,110.31623931623932,15,102
0.34,-13884.5703125,1671.5527474642327,-8.306389808654785,1.0,-12.19044888837784,-0.15836525910256977,0.3365,102.56410256410257,19,98
0.35,-12227.007724859775,1632.4309233753931,-7.490061324970414,0.9999999999926384,-10.992404798317272,-0.14807674589623088,0.3397343862167983,95.24786324786325,19,98
0.36,-10741.804695846688,1630.3584565674303,-6.588615314979609,0.9999999993183644,-9.6694437415617,-0.13936018929410332,0.345110531904624,88.53846153846153,19,98
0.37,-9313.983808468549,1463.6395929783257,-6.363577381447944,0.9999999979637393,-9.339178346789831,-0.12781351314183195,0.35026543145622985,82.11111111111111,25,92
0.38,-8364.180683885885,1420.6817479244366,-5.887441502015242,0.9999999805188653,-8.64040191510985,-0.1223248457295242,0.35241502683363146,76.44444444444444,24,93
0.39,-8185.553642077323,1456.3611485030726,-5.620552052278296,0.9999999334661933,-8.248715286573438,-0.12034550743530793,0.35248354278874927,71.41025641025641,22,95
0.4,-7417.52836204594,1493.944845840662,-4.9650617174370995,0.9999988083718696,-7.2867184764889155,-0.12468571533802254,0.35560400102590406,66.64957264957265,24,93
0.41,-6291.927526229467,1515.2914439241508,-4.152288691035739,0.999968431335434,-6.093893781506535,-0.11458378490401785,0.3606985698569857,62.15384615384615,32,85
0.42,-6229.785030528012,1540.4974277042688,-4.044008719840558,0.9999525151207637,-5.9349822288121015,-0.11924273437153747,0.3629389200354087,57.93162393162393,32,85
0.43,-5356.162325084719,1549.4796309295211,-3.4567491034855338,0.9996175257563037,-5.073120737350359,-0.11811076335263727,0.3680817610062893,54.35897435897436,34,83
0.44,-5158.911817240919,1502.4192572821908,-3.433736483498727,0.9995868416323241,-5.0393474445307795,-0.12201166340021481,0.369382964453387,50.97435897435897,36,81
