q,mean_daily_pnl,stderr,t_stat,p_value,annualized_sharpe,avg_daily_sharpe,win_rate_per_trade,mean_daily_volume,days_with_profit,days_with_loss
0.05,-335205.6875,12946.156546891187,-25.892292022705078,1.0,-37.99949841198294,-0.7233110070228577,0.1696204753520161,1558.179487179487,0,117
0.1,-112245.4765625,7538.067981435769,-14.890483856201172,1.0,-21.8532552247102,-0.3532060384750366,0.258522794763975,719.5384615384615,0,117
0.15,-39893.875,4420.507703208002,-9.024726867675781,1.0,-13.24467818353139,-0.1698056012392044,0.31925229460488025,381.79487179487177,9,108
0.2,-14478.689453125,3126.592213063441,-4.630821228027344,0.999995231628418,-6.796187479857945,-0.0681459903717041,0.35276735992726443,225.6153846153846,35,82
0.25,-3611.25341796875,2552.129197249457,-1.4149963855743408,0.9201257824897766,-2.076646858307755,-0.02744981124073845,0.37762279805206517,142.16239316239316,48,69
0.3,-1687.974851950621,2042.0372534729584,-0.8266131526640017,0.7949232907454954,-1.2131364472816024,-0.024018231962992135,0.38889896608017416,94.23931623931624,51,66
0.35,522.4704009488098,1923.5102767463397,0.2716233998149363,0.3931972116430816,0.39863416785479394,-0.02084145799132162,0.40577406965964774,64.53846153846153,60,57
0.4,1138.045013639662,1493.0427060927736,0.7622320573923,0.2237343061756363,1.1186508309587786,-0.03904375410848507,0.4149789835689721,44.73504273504273,65,52
0.45,1505.743428156926,1364.4275302355159,1.1035715674082136,0.13603155473520273,1.6196002764920592,-0.020767593449203387,0.4166219839142091,31.88034188034188,58,59
0.5,918.4464040576902,1132.2759615251828,0.8111506693302375,0.2094701792838115,1.1904437257380118,-0.06370000009976175,0.4153448911840649,23.17094017094017,48,69
0.55,762.8610154502412,1019.3022857017554,0.7484148972795023,0.2278623498945439,1.098372783752852,-0.08568630271173756,0.41214534594325536,17.17094017094017,48,69
0.6,1599.713661487286,983.824311466108,1.6260155831109433,0.05333003766858442,2.3863384720682497,-0.15212837014114483,0.4217506631299735,12.88888888888889,47,70
0.65,-905.2843499468942,921.2999382471204,-0.9826163145840455,0.836079337090099,-1.442086496051641,-0.22943244334141796,0.4089732528041415,9.905982905982906,34,83
0.7,852.7262539985852,946.8643043675565,0.9005791538082646,0.18483900982305246,1.3216888596870842,-0.19240353679197142,0.42792792792792794,7.589743589743589,31,86
0.75,214.49861927521533,860.7569755142546,0.24919765436354932,0.40182430108052036,0.3657221713823697,-0.24627637402671906,0.4090909090909091,6.017094017094017,30,87
