q,mean_daily_pnl,stderr,t_stat,p_value,annualized_sharpe,avg_daily_sharpe,win_rate_per_trade,mean_daily_volume,days_with_profit,days_with_loss
0.05,-1392985.75,23153.218169568583,-60.1638069152832,1.0,-125.40694354209491,-2.177644729614258,0.036384781525170294,3632.155172413793,0,58
0.06,-1098036.75,22828.585582616066,-48.09920120239258,1.0,-100.25917925602317,-1.9129295349121094,0.04785745582006718,2951.293103448276,0,58
0.07,-868291.5625,21576.426922235616,-40.24260330200195,1.0,-83.88268585200645,-1.684580683708191,0.06074685816876122,2400.862068965517,0,58
0.08,-688760.8125,20401.029181839756,-33.76108169555664,1.0,-70.37244271948357,-1.484703779220581,0.07575557492362817,1958.4310344827586,0,58
0.09,-554450.375,18754.216727521332,-29.564037322998047,1.0,-61.62401983740452,-1.3193321228027344,0.09003383607117316,1615.2931034482758,0,58
0.1,-449831.4375,16914.55307909772,-26.594345092773438,1.0,-55.43391482639503,-1.1777945756912231,0.1055083055623464,1339.9827586206898,0,58
0.11,-368918.5625,15668.306285690482,-23.545528411865234,1.0,-49.07888964586572,-1.055280327796936,0.12129056115373948,1119.0,0,58
0.12,-303124.25,14092.434183387535,-21.509714126586914,1.0,-44.83538876179004,-0.9472452402114868,0.136964851521627,935.9310344827586,0,58
0.13,-249416.328125,13118.692348919007,-19.012285232543945,1.0,-39.62968383268393,-0.8480645418167114,0.1536061864276456,784.8103448275862,0,58
0.14,-207788.234375,12007.452162616215,-17.30493927001953,1.0,-36.07084874040082,-0.7704948782920837,0.16837531223980018,662.6206896551724,0,58
0.15,-171868.71875,11146.481011512547,-15.419100761413574,1.0,-32.13996004125249,-0.6847953200340271,0.18583825701624815,560.2758620689655,0,58
0.16,-145555.671875,10426.444747790645,-13.960240364074707,1.0,-29.099073450442383,-0.6208083629608154,0.19834293948126802,478.62068965517244,0,58
0.17,-122945.0234375,9609.99981323601,-12.79344654083252,1.0,-26.666980814126983,-0.562982439994812,0.21168678739101274,411.3103448275862,0,58
0.18,-104377.1328125,8748.237746040666,-11.931219100952148,1.0,-24.8697293693143,-0.5188730955123901,0.22522169418450835,351.91379310344826,0,58
0.19,-89469.5234375,7913.897693767114,-11.305368423461914,1.0,-23.565191101457582,-0.48024314641952515,0.2340702947845805,304.13793103448273,0,58
0.2,-76119.703125,7434.320438545606,-10.238958358764648,1.0,-21.342342396972207,-0.4396871030330658,0.2438799684127402,262.0,0,58
0.21,-64679.7890625,6598.432919444172,-9.802294731140137,1.0,-20.432149731479207,-0.402593195438385,0.2519960459280663,226.74137931034483,0,58
0.22,-55997.859375,5978.320851128518,-9.366820335388184,1.0,-19.52443520669842,-0.38525503873825073,0.25899533738013547,195.98275862068965,0,58
0.23,-48194.63671875,5363.476427599854,-8.985708236694336,1.0,-18.730035838335112,-0.35821741819381714,0.2690524193548387,171.0344827586207,0,58
0.24,-41107.484375,4893.987712331149,-8.399588584899902,1.0,-17.5083128953313,-0.322852224111557,0.27784169351127475,149.86206896551724,1,57
0.25,-35460.60546875,4435.885726786998,-7.994030475616455,1.0,-16.662956882619568,-0.30073249340057373,0.28668941979522183,131.3448275862069,1,57
0.26,-30261.416015625,4136.0856995754475,-7.316437721252441,1.0,-15.250567009615503,-0.2700631618499756,0.29476831091180866,115.34482758620689,3,55
0.27,-26747.564453125,3776.682810160649,-7.082289695739746,1.0,-14.762503200168734,-0.25521349906921387,0.30192209559448885,101.36206896551724,3,55
0.28,-23687.54296875,3496.11276391613,-6.775394439697266,1.0,-14.122801556619848,-0.24695010483264923,0.30817850986401074,90.01724137931035,7,51
0.29,-21980.54296875,3423.4792769988157,-6.42052698135376,1.0,-13.383108118952254,-0.2568286955356598,0.30815579944049926,80.12068965517241,7,51
0.3,-18920.787109375,3182.573518877247,-5.945121765136719,0.9999999403953552,-12.392160451868014,-0.23630407452583313,0.3148281663061764,71.74137931034483,9,49
0.31,-16998.732421875,2911.1554284199,-5.839169979095459,0.9999998807907104,-12.171312635979453,-0.23197884857654572,0.3217461600646726,63.98275862068966,10,48
0.32,-14530.974609375,2557.5533597177077,-5.6815924644470215,0.9999997615814209,-11.842852331708901,-0.22299290538495897,0.3300150829562594,57.1551724137931,12,46
0.33,-11953.3935546875,2428.0282832693983,-4.923086643218994,0.9999961853027344,-10.261804834779191,-0.18507543965978057,0.337671004337671,51.672413793103445,16,42
0.34,-10563.263671875,2292.35514214346,-4.608039379119873,0.999988317489624,-9.605113312766882,-0.2206447019584869,0.3401792382374907,46.172413793103445,14,44
0.35,-8632.001953125,2296.3163905066463,-3.7590646743774414,0.9997981786727905,-7.835488505453993,-0.19515152934140392,0.3393739703459638,41.86206896551724,18,40
0.36,-7701.262219659214,2076.613752654418,-3.708567474242682,0.9997629555591477,-7.730230762463903,-0.20065556848255386,0.34452621895124197,37.48275862068966,19,39
0.37,-6875.132368416622,1966.5825884235232,-3.4959794767266557,0.9995390027878813,-7.287107025456914,-0.19794551469808952,0.34804413239719156,34.37931034482759,20,38
0.38,-5212.997954269936,1937.3267553534236,-2.690820193271391,0.9953317221367105,-5.608812884962602,-0.16196104157716035,0.3488888888888889,31.03448275862069,23,35
0.39,-5374.689821440598,1714.0443337962727,-3.1356772491040017,0.9986446932625415,-6.536084054162136,-0.17145795720968057,0.3487394957983193,28.724137931034484,22,36
0.4,-4465.974864038928,1686.849979140989,-2.647523442667486,0.9947663767821823,-5.518564055527086,-0.10845599373526595,0.35984354628422427,26.448275862068964,23,35
0.41,-4892.385797434839,1745.3648963949647,-2.803073332997597,0.9965469291776028,-5.842796135886701,-0.12001742598604997,0.3561741613133476,24.155172413793103,24,34
0.42,-4403.246935614224,1710.9745018293513,-2.5735315931981044,0.9936538380632545,-5.364333594597799,-0.12633714104930943,0.3529868114817688,22.224137931034484,22,36
0.43,-3382.4388932852908,1566.1930235008356,-2.159656467965033,0.9824900836324567,-4.501641936129694,-0.09068309114529537,0.3593618807724601,20.53448275862069,23,35
0.44,-2887.4185180664062,1584.0761990490919,-1.8227775404994409,0.9632083476527413,-3.7994430772961616,-0.08125403142520764,0.3694096601073345,19.275862068965516,24,34
